model,metric,A01.001,A01.009,A01.010,C01.060,C02.001,C02.002,C13.004,C14.001,C14.003,C14.004,C14.005,CLE_UNK,M10.001,M10.003,M10.004,M10.005,M10.008,M10.013,M12.217,M13.001,S01.001,S01.010,S01.131,S01.133,S01.140,S01.151,S01.217,S01.233,XS26-001
UniZyme,AUROC,0.9952092494080749,0.9993159707622774,0.9902603965992929,0.9989335075295804,0.9977038007023952,0.994145182037158,0.9723377587607618,0.9993088542983929,0.9995582297273118,0.9978116185277832,0.9991224225139558,0.9985676199875266,0.9971384733410049,0.9993018748786362,0.9986667756701342,0.9478839499360506,0.9987611712225294,0.9984527502531084,0.9993816778789077,0.994119245090049,0.9998517268793307,0.9978995523433374,0.9979747212078361,0.9950182597650047,0.9984548581740259,0.9841700412036591,0.9982195020169703,0.998720826928252,0.9989416418941912
UniZyme,AUPR,0.9480666927460274,0.9364976039020396,0.2564256524166668,0.8433697518981742,0.8753005921244544,0.6640958020173235,0.1295242003510516,0.7123048260579367,0.8916861373651271,0.6782696436975796,0.707931704781421,0.9056689010960612,0.8110560841072934,0.8857135955202114,0.9343372943386483,0.062337558886700596,0.9130172522884252,0.8394953621541831,0.9321815230237405,0.7622710460139961,0.9979332678210522,0.6102590046336892,0.8284154275809512,0.5579758787020017,0.9013470552133322,0.7691927292350407,0.6502309932318544,0.8046584977246629,0.8101671544097466
ReactZyme,AUROC,0.9927160911411087,0.9992224615769785,0.9892307870918225,0.9959583260205681,0.9941525807213766,0.9915723478562151,0.9887091467435326,0.9986203143800918,0.9993848437809791,0.9983566252233922,0.99952639272422,0.9985744734804093,0.9965238886757873,0.9989551901309927,0.9978665855953378,0.9767039591579583,0.9984172085581459,0.9974889366399798,0.996171349426197,0.991374626460201,0.9989121744315257,0.9908605597426523,0.9973351594839948,0.9962034432699723,0.9981404725652738,0.993163005202796,0.9962477396021701,0.9987816521607702,0.9985953519190611
ReactZyme,AUPR,0.9318345242147441,0.9265574156304567,0.24092526210517617,0.627490265170507,0.744605419606976,0.4969973671621543,0.2533363291097037,0.6595048736956951,0.8679683760765832,0.6999945982784763,0.8128499821076726,0.889159337015161,0.7603374346134457,0.8395036480587551,0.8826523005719892,0.12610814531105266,0.89787878904471,0.7383129512761826,0.7502675066477623,0.6430171953271299,0.9807491283961585,0.22955044561291704,0.7729898710743281,0.6281002646171417,0.8748040674122973,0.8135476040615683,0.42917683410868035,0.8026760431772713,0.7692943721040933
ClipZyme,AUROC,0.9848700839457581,0.9990482965867109,0.989000035174131,0.9964387748944222,0.998003206296194,0.9908455044496427,0.9845021804569486,0.9997677787230128,0.9990391466345572,0.9969025626095527,0.9989591401132724,0.9994551473158295,0.9960499509866598,0.9992073051829063,0.9976945036704729,0.9584365846760777,0.9985174136715723,0.9971895919569707,0.9985209734863475,0.9890135353244803,0.9995191456396636,0.9900214543296664,0.9965307227354223,0.9936260944517533,0.9981926351999098,0.9977675094733168,0.996745027124774,0.9983577187220066,0.9984004701148754
ClipZyme,AUPR,0.7566622059925474,0.906199281030224,0.23484440528673314,0.591689773149737,0.8707557719804324,0.4856728677641002,0.18122604125166034,0.8982346066458247,0.8084275610261813,0.5559105477441151,0.668649679965111,0.9606080126659295,0.7676516855481335,0.8839342230103877,0.8864889820315572,0.07171450472765982,0.8905737552500996,0.7097300727091463,0.8439748608123196,0.584560342000503,0.9926441287430028,0.18867973622083306,0.7224123668300827,0.4685720804775604,0.8966876511147307,0.891796012274844,0.4130378883526229,0.7408482139221438,0.7223166037664621
